week,agegroup,sex,deaths-involving-covid-19-occurrences,deaths-involving-covid-19-registrations,total-registered-deaths
week-7,30-34,all,0,0,40
week-7,30-34,female,0,0,13
week-7,30-34,male,0,0,27
week-7,35-39,all,0,0,85
week-7,35-39,female,0,0,33
week-7,35-39,male,0,0,52
week-7,40-44,all,0,0,92
week-7,40-44,female,0,0,34
week-7,40-44,male,0,0,58
week-7,45-49,all,0,0,165
week-7,45-49,female,0,0,66
week-7,45-49,male,0,0,99
week-7,50-54,all,0,0,288
week-7,50-54,female,0,0,116
week-7,50-54,male,0,0,172
week-7,55-59,all,0,0,345
week-7,55-59,female,0,0,136
week-7,55-59,male,0,0,209
week-7,60-64,all,0,0,490
week-7,60-64,female,0,0,203
week-7,60-64,male,0,0,287
week-7,65-69,all,0,0,641
week-7,65-69,female,0,0,241
week-7,65-69,male,0,0,400
week-7,70-74,all,0,0,1113
week-7,70-74,female,0,0,453
week-7,70-74,male,0,0,660
week-7,75-79,all,0,0,1305
week-7,75-79,female,0,0,579
week-7,75-79,male,0,0,726
week-7,80-84,all,0,0,1704
week-7,80-84,female,0,0,834
week-7,80-84,male,0,0,870
week-7,85-89,all,0,0,2039
week-7,85-89,female,0,0,1044
week-7,85-89,male,0,0,995
week-7,90+,all,0,0,2517
week-7,90+,female,0,0,1665
week-7,90+,male,0,0,852
week-8,all,all,0,0,10841
week-8,all,female,,,
week-8,all,male,,,
week-8,0-1,all,0,0,51
week-8,0-1,female,0,0,19
week-8,0-1,male,0,0,32
week-8,1-4,all,0,0,5
week-8,1-4,female,0,0,0
week-8,1-4,male,0,0,5
week-8,5-9,all,0,0,6
week-8,5-9,female,0,0,2
week-8,5-9,male,0,0,4
week-8,10-14,all,0,0,7
week-8,10-14,female,0,0,5
week-8,10-14,male,0,0,2
week-8,15-19,all,0,0,20
week-8,15-19,female,0,0,6
week-8,15-19,male,0,0,14
week-8,20-24,all,0,0,18
week-8,20-24,female,0,0,4
week-8,20-24,male,0,0,14
week-8,25-29,all,0,0,29
week-8,25-29,female,0,0,12
week-8,25-29,male,0,0,17
week-8,30-34,all,0,0,60
week-8,30-34,female,0,0,21
week-8,30-34,male,0,0,39
week-8,35-39,all,0,0,77
week-8,35-39,female,0,0,31
week-8,35-39,male,0,0,46
week-8,40-44,all,0,0,117
week-8,40-44,female,0,0,45
week-8,40-44,male,0,0,72
week-8,45-49,all,0,0,182
week-8,45-49,female,0,0,77
week-8,45-49,male,0,0,105
week-8,50-54,all,0,0,232
week-8,50-54,female,0,0,92
week-8,50-54,male,0,0,140
week-8,55-59,all,0,0,346
week-8,55-59,female,0,0,151
week-8,55-59,male,0,0,195
week-8,60-64,all,0,0,511
week-8,60-64,female,0,0,226
week-8,60-64,male,0,0,285
week-8,65-69,all,0,0,695
week-8,65-69,female,0,0,295
week-8,65-69,male,0,0,400
week-8,70-74,all,0,0,1048
week-8,70-74,female,0,0,450
week-8,70-74,male,0,0,598
week-8,75-79,all,0,0,1338
week-8,75-79,female,0,0,560
week-8,75-79,male,0,0,778
week-8,80-84,all,0,0,1696
week-8,80-84,female,0,0,802
week-8,80-84,male,0,0,894
week-8,85-89,all,0,0,1927
week-8,85-89,female,0,0,1021
week-8,85-89,male,0,0,906
week-8,90+,all,0,0,2475
week-8,90+,female,0,0,1582
week-8,90+,male,0,0,893
week-9,all,all,0,0,10816
week-9,all,female,,,
week-9,all,male,,,
week-9,0-1,all,0,0,49
week-9,0-1,female,0,0,19
week-9,0-1,male,0,0,30
week-9,1-4,all,0,0,7
week-9,1-4,female,0,0,1
week-9,1-4,male,0,0,6
week-9,5-9,all,0,0,6
week-9,5-9,female,0,0,2
week-9,5-9,male,0,0,4
week-9,10-14,all,0,0,7
week-9,10-14,female,0,0,2
week-9,10-14,male,0,0,5
week-9,15-19,all,0,0,24
week-9,15-19,female,0,0,8
week-9,15-19,male,0,0,16
week-9,20-24,all,0,0,25
week-9,20-24,female,0,0,6
week-9,20-24,male,0,0,19
week-9,25-29,all,0,0,28
week-9,25-29,female,0,0,7
week-9,25-29,male,0,0,21
week-9,30-34,all,0,0,50
week-9,30-34,female,0,0,18
week-9,30-34,male,0,0,32
week-9,35-39,all,0,0,85
week-9,35-39,female,0,0,34
week-9,35-39,male,0,0,51
week-9,40-44,all,0,0,103
week-9,40-44,female,0,0,39
week-9,40-44,male,0,0,64
week-9,45-49,all,0,0,155
week-9,45-49,female,0,0,60
week-9,45-49,male,0,0,95
week-9,50-54,all,0,0,261
week-9,50-54,female,0,0,114
week-9,50-54,male,0,0,147
week-9,55-59,all,0,0,347
week-9,55-59,female,0,0,158
week-9,55-59,male,0,0,189
week-9,60-64,all,0,0,494
week-9,60-64,female,0,0,208
week-9,60-64,male,0,0,286
week-9,65-69,all,0,0,682
week-9,65-69,female,0,0,265
week-9,65-69,male,0,0,417
week-9,70-74,all,0,0,1111
week-9,70-74,female,0,0,464
week-9,70-74,male,0,0,647
week-9,75-79,all,0,0,1255
week-9,75-79,female,0,0,546
week-9,75-79,male,0,0,709
week-9,80-84,all,0,0,1713
week-9,80-84,female,0,0,842
week-9,80-84,male,0,0,871
week-9,85-89,all,0,0,2015
week-9,85-89,female,0,0,1059
week-9,85-89,male,0,0,956
week-9,90+,all,0,0,2398
week-9,90+,female,0,0,1528
week-9,90+,male,0,0,870
week-10,all,all,4,0,10895
week-10,all,female,,,
week-10,all,male,,,
week-10,0-1,all,0,0,56
week-10,0-1,female,0,0,25
week-10,0-1,male,0,0,31
week-10,1-4,all,0,0,11
week-10,1-4,female,0,0,4
week-10,1-4,male,0,0,7
week-10,5-9,all,0,0,2
week-10,5-9,female,0,0,1
week-10,5-9,male,0,0,1
week-10,10-14,all,0,0,7
week-10,10-14,female,0,0,5
week-10,10-14,male,0,0,2
week-10,15-19,all,0,0,21
week-10,15-19,female,0,0,8
week-10,15-19,male,0,0,13
week-10,20-24,all,0,0,23
week-10,20-24,female,0,0,7
week-10,20-24,male,0,0,16
week-10,25-29,all,0,0,39
week-10,25-29,female,0,0,12
week-10,25-29,male,0,0,27
week-10,30-34,all,0,0,53
week-10,30-34,female,0,0,20
week-10,30-34,male,0,0,33
week-10,35-39,all,0,0,72
week-10,35-39,female,0,0,27
week-10,35-39,male,0,0,45
week-10,40-44,all,0,0,104
week-10,40-44,female,0,0,35
week-10,40-44,male,0,0,69
week-10,45-49,all,0,0,155
week-10,45-49,female,0,0,62
week-10,45-49,male,0,0,93
week-10,50-54,all,0,0,258
week-10,50-54,female,0,0,105
week-10,50-54,male,0,0,153
week-10,55-59,all,0,0,358
week-10,55-59,female,0,0,138
week-10,55-59,male,0,0,220
week-10,60-64,all,0,0,481
week-10,60-64,female,0,0,203
week-10,60-64,male,0,0,278
week-10,65-69,all,0,0,679
week-10,65-69,female,0,0,291
week-10,65-69,male,0,0,388
week-10,70-74,all,0,0,1090
week-10,70-74,female,0,0,444
week-10,70-74,male,0,0,646
week-10,75-79,all,2,0,1325
week-10,75-79,female,2,0,600
week-10,75-79,male,0,0,725
week-10,80-84,all,1,0,1798
week-10,80-84,female,0,0,860
week-10,80-84,male,1,0,938
week-10,85-89,all,0,0,1969
week-10,85-89,female,0,0,1037
week-10,85-89,male,0,0,932
week-10,90+,all,1,0,2391
week-10,90+,female,1,0,1550
week-10,90+,male,0,0,841
week-11,all,all,40,5,11019
week-11,all,female,,,
week-11,all,male,,,
week-11,0-1,all,0,0,53
week-11,0-1,female,0,0,29
week-11,0-1,male,0,0,24
week-11,1-4,all,0,0,13
week-11,1-4,female,0,0,8
week-11,1-4,male,0,0,5
week-11,5-9,all,0,0,3
week-11,5-9,female,0,0,2
week-11,5-9,male,0,0,1
week-11,10-14,all,0,0,6
week-11,10-14,female,0,0,4
week-11,10-14,male,0,0,2
week-11,15-19,all,0,0,18
week-11,15-19,female,0,0,5
week-11,15-19,male,0,0,13
week-11,20-24,all,0,0,39
week-11,20-24,female,0,0,13
week-11,20-24,male,0,0,26
week-11,25-29,all,0,0,29
week-11,25-29,female,0,0,9
week-11,25-29,male,0,0,20
week-11,30-34,all,0,0,55
week-11,30-34,female,0,0,14
week-11,30-34,male,0,0,41
